         314666 function calls (311581 primitive calls) in 3.325 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        2    0.000    0.000    0.002    0.001 __init__.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 inspect.py:2590(BoundArguments)
       15    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       52    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 chebyshev.py:109(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.004    0.004 hmac.py:4(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:125(<module>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       40    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
       56    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       36    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      170    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      148    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.004    0.004 secrets.py:7(<module>)
        2    0.000    0.000    0.007    0.004 shape_base.py:1(<module>)
      107    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       49    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       49    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       36    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       34    0.000    0.000    0.002    0.000 platform.py:946(uname)
    46/33    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        3    0.000    0.000    0.001    0.000 enum.py:389(_create_)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
      329    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       71    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
        1    0.000    0.000    0.003    0.003 hmac.py:4(<module>)
        1    0.000    0.000    0.031    0.031 pickle.py:24(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.018    0.018 subprocess.py:42(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      102    0.000    0.000    0.000    0.000 re.py:170(match)
      109    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.001    0.000 enum.py:389(_create_)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:2590(BoundArguments)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f59a888b1e0}
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6755(getdoc)
       72    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
       36    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
       20    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
      407    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
       76    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.000    0.000 core.py:2706(MaskedArray)
        1    0.000    0.000    0.000    0.000 _datasource.py:36(<module>)
       46    0.000    0.000    0.000    0.000 types.py:164(__get__)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       49    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       36    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
      170    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:365(<dictcomp>)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       75    0.000    0.000    0.000    0.000 overrides.py:122(decorator)
        1    0.000    0.000    0.000    0.000 hashlib.py:54(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.007    0.007 __init__.py:41(<module>)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       58    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       36    0.000    0.000    0.003    0.000 sre_compile.py:598(_code)
      877    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _type_aliases.py:18(<module>)
       78    0.000    0.000    0.000    0.000 _internal.py:826(<genexpr>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:468(wrapper)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       76    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       80    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      113    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 {method 'duplicate' of 'petsc4py.PETSc.Vec' objects}
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
       49    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.001    0.001 os.py:977(popen)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
      377    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       20    0.000    0.000    0.017    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       15    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 pickle.py:1021(_Unpickler)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       56    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        1    0.000    0.000    0.002    0.002 platform.py:803(_syscmd_uname)
        2    0.000    0.000    0.008    0.004 __init__.py:43(Import)
       23    0.000    0.000    0.001    0.000 abc.py:125(__new__)
       50    0.000    0.000    0.000    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.019    0.019 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2706(MaskedArray)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       97    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.006    0.006 __init__.py:71(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:18(<module>)
      171    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      377    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
       49    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 subprocess.py:656(__init__)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
       80    0.000    0.000    0.000    0.000 enum.py:526(__new__)
       34    0.000    0.000    0.002    0.000 platform.py:946(uname)
        1    0.000    0.000    0.036    0.036 _add_newdocs_scalars.py:5(<module>)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f6a29d101e0}
      877    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.013    0.013 _methods.py:5(<module>)
        1    0.000    0.000    0.002    0.002 twodim_base.py:3(<module>)
        1    0.000    0.000    0.031    0.031 platform.py:10(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:115(<module>)
        1    0.000    0.000    0.002    0.002 threading.py:1(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:41(<module>)
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
       23    0.000    0.000    0.004    0.000 overrides.py:223(decorator)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        3    0.000    0.000    0.001    0.000 enum.py:633(_convert)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.010    0.010 platform.py:10(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
       49    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       30    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.002    0.002 scimath.py:33(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
       61    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        7    0.000    0.000    0.000    0.000 getlimits.py:514(__init__)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
      415    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.011    0.011 __init__.py:125(<module>)
       23    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
       17    0.000    0.000    0.000    0.000 platform.py:1121(machine)
        1    0.000    0.000    0.000    0.000 selectors.py:5(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
      102    0.000    0.000    0.000    0.000 re.py:170(match)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 numerictypes.py:442(_construct_lookups)
      259    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      377    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.001    0.001 polynomial.py:74(<module>)
       75    0.000    0.000    0.000    0.000 overrides.py:111(set_module)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      102    0.000    0.000    0.000    0.000 re.py:170(match)
        1    0.000    0.000    0.003    0.003 threading.py:1(<module>)
        1    0.000    0.000    0.012    0.012 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
       11    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.003    0.003 _internal.py:6(<module>)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:22(<module>)
       30    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      148    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       63    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      100    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.004    0.004 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:442(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
       34    0.000    0.000    0.016    0.000 re.py:232(compile)
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:109(<module>)
       49    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
      377    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
        4    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
       49    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:223(decorator)
       15    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
      107    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       52    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6230(refer_to_array_attribute)
        1    0.000    0.000    0.008    0.008 __init__.py:10(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:29(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:654(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'duplicate' of 'petsc4py.PETSc.Vec' objects}
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:22(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
       45    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
       36    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       74    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       44    0.000    0.000    0.001    0.000 core.py:132(get_object_signature)
       72    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        4    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
      415    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      109    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
       11    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
        1    0.000    0.000    0.000    0.000 threading.py:894(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.016    0.016 overrides.py:1(<module>)
       36    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       34    0.000    0.000    0.003    0.000 platform.py:946(uname)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       56    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        4    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       44    0.000    0.000    0.000    0.000 core.py:132(get_object_signature)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
       75    0.000    0.000    0.000    0.000 overrides.py:122(decorator)
       36    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
      220    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       49    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.017    0.017 subprocess.py:42(<module>)
       36    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
       72    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 pathlib.py:604(PurePath)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       41    0.000    0.000    0.002    0.000 _add_newdocs_scalars.py:62(<genexpr>)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       76    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      277    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       71    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       11    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       24    0.000    0.000    0.000    0.000 numerictypes.py:515(_scalar_type_key)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.002    0.002 platform.py:803(_syscmd_uname)
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.000    0.000 imp.py:7(<module>)
       74    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
        1    0.000    0.000    0.000    0.000 imp.py:7(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.005    0.005 __init__.py:71(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:656(__init__)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:29(<module>)
      102    0.000    0.000    0.000    0.000 re.py:170(match)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
       40    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
      336    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      100    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        3    0.000    0.000    0.012    0.004 enum.py:389(_create_)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       46    0.000    0.000    0.000    0.000 types.py:164(__get__)
        7    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.001    0.001 arraysetops.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.003    0.003 _internal.py:6(<module>)
        1    0.000    0.000    0.003    0.003 linalg.py:10(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        6    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      277    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       24    0.000    0.000    0.000    0.000 numerictypes.py:515(_scalar_type_key)
        1    0.000    0.000    0.008    0.008 __init__.py:125(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 _asarray.py:5(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:2590(BoundArguments)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        2    0.000    0.000    0.000    0.000 core.py:2974(__array_finalize__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:77(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:77(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
       75    0.000    0.000    0.000    0.000 overrides.py:122(decorator)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.052    0.052 __init__.py:10(<module>)
        2    0.000    0.000    0.008    0.004 __init__.py:43(Import)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:365(<dictcomp>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.006    0.006 defmatrix.py:1(<module>)
        7    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        1    0.000    0.000    0.060    0.060 overrides.py:1(<module>)
       56    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       56    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        3    0.000    0.000    0.012    0.004 enum.py:633(_convert)
        1    0.000    0.000    0.034    0.034 pathlib.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:608(Popen)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
       56    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        3    0.000    0.000    0.000    0.000 enum.py:654(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
        1    0.000    0.000    0.008    0.008 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:130(_add_integer_aliases)
        1    0.000    0.000    0.007    0.007 py3k.py:12(<module>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 legendre.py:81(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:803(_syscmd_uname)
        1    0.000    0.000    0.002    0.002 subprocess.py:656(__init__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       36    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       15    0.000    0.000    0.000    0.000 arrayprint.py:468(wrapper)
       36    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 hermite.py:77(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        9    0.000    0.000    0.000    0.000 overrides.py:24(set_array_function_like_doc)
        1    0.000    0.000    0.000    0.000 pickle.py:1021(_Unpickler)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       50    0.000    0.000    0.000    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
